order_id,customer_id,status,order_ts,total_cents,currency,region
O-100090,C-1857,cancelled,2025-01-27T13:38:47Z,17600580,EUR,EU
O-100091,C-1643,processing,2025-11-18T21:11:37Z,14384399,USD,APAC
O-100092,C-1524,shipped,2026-02-23T08:46:40Z,7508310,EUR,APAC
O-100093,C-0741,cancelled,2025-10-15T07:30:25Z,6536522,GBP,EU
O-100094,C-0807,shipped,2025-09-03T09:54:13Z,3376503,USD,EU
O-100095,C-1811,delivered,2026-05-03T12:38:04Z,4983636,USD,APAC
O-100096,C-1170,delivered,2025-07-17T22:36:57Z,1381167,EUR,NA
O-100097,C-1822,delivered,2025-01-18T11:24:14Z,6752772,USD,NA
O-100098,C-1499,refunded,2025-12-09T07:36:47Z,3393630,USD,NA
O-100099,C-1190,shipped,2025-08-08T01:15:39Z,6132394,USD,NA
O-100100,C-1234,delivered,2025-03-03T10:54:05Z,7824546,USD,EU
O-100101,C-1396,shipped,2025-02-16T12:12:44Z,6751761,USD,NA
O-100102,C-1590,delivered,2025-02-25T06:26:48Z,4213499,EUR,EU
O-100103,C-1592,pending,2026-06-29T03:55:03Z,10186748,USD,EU
O-100104,C-1045,delivered,2025-08-16T05:02:44Z,3630345,USD,EU
O-100105,C-1400,delivered,2026-05-31T23:01:05Z,114288,USD,NA
O-100106,C-1770,delivered,2025-04-09T15:21:44Z,9598519,USD,EU
O-100107,C-1533,processing,2026-03-23T09:05:16Z,4500656,USD,APAC
O-100108,C-1353,delivered,2025-09-21T21:31:47Z,11631591,EUR,APAC
O-100109,C-0593,shipped,2026-01-26T19:09:53Z,8172949,USD,NA
O-100110,C-1895,delivered,2026-02-17T12:59:51Z,1930703,USD,NA
O-100111,C-1752,delivered,2025-04-06T05:47:22Z,10294727,USD,APAC
O-100112,C-0118,shipped,2025-03-05T09:23:53Z,2744304,USD,EU
O-100113,C-1348,shipped,2025-06-13T13:46:17Z,8222278,USD,NA
O-100114,C-0054,shipped,2026-05-22T21:22:47Z,6389721,USD,APAC
O-100115,C-0070,delivered,2025-12-16T17:51:14Z,2233260,EUR,EU
O-100116,C-1949,processing,2026-06-26T12:58:32Z,4041813,USD,NA
O-100117,C-1276,pending,2025-09-07T02:26:41Z,6719253,USD,NA
O-100118,C-1126,delivered,2025-09-19T11:16:39Z,8281983,EUR,EU
O-100119,C-0007,processing,2025-09-17T09:33:07Z,5383588,USD,EU
O-100120,C-0963,delivered,2026-05-01T11:21:28Z,3442215,EUR,APAC
O-100121,C-1138,shipped,2025-07-31T19:32:26Z,10447108,EUR,APAC
O-100122,C-1614,shipped,2025-12-27T22:20:06Z,6787905,USD,APAC
O-100123,C-0739,delivered,2026-01-10T08:07:28Z,638904,USD,NA
O-100124,C-0459,delivered,2025-12-29T18:09:10Z,2504575,EUR,NA
O-100125,C-1201,delivered,2025-05-30T22:36:49Z,7602521,JPY,NA
O-100126,C-0706,delivered,2025-10-29T12:31:08Z,4401763,USD,NA
O-100127,C-0095,delivered,2025-02-19T04:13:29Z,7190091,USD,APAC
O-100128,C-0614,delivered,2025-12-02T16:43:04Z,4782449,USD,EU
O-100129,C-0777,shipped,2026-05-12T02:23:20Z,1636089,USD,EU
O-100130,C-1422,delivered,2025-08-22T10:14:04Z,1221621,USD,NA
O-100131,C-1134,delivered,2026-04-11T16:28:37Z,10424785,GBP,NA
O-100132,C-0057,pending,2025-06-29T00:36:44Z,8458100,USD,APAC
O-100133,C-1950,delivered,2025-12-02T17:11:33Z,5052103,EUR,EU
O-100134,C-1384,delivered,2026-01-10T03:00:05Z,5336356,USD,APAC
O-100135,C-0971,processing,2025-07-07T10:33:17Z,6055089,USD,EU
O-100136,C-0973,processing,2026-06-16T02:39:58Z,5451543,EUR,LATAM
O-100137,C-0870,delivered,2026-04-16T22:42:21Z,9891626,USD,APAC
O-100138,C-1472,delivered,2026-01-14T14:05:45Z,7201099,USD,NA
O-100139,C-1038,delivered,2025-07-19T16:53:42Z,17961140,USD,EU
O-100140,C-1774,shipped,2025-10-23T20:27:41Z,2814787,USD,APAC
O-100141,C-1053,delivered,2025-01-15T04:11:48Z,26420,USD,NA
O-100142,C-1161,delivered,2026-04-08T06:14:49Z,4703488,EUR,NA
O-100143,C-0747,delivered,2025-03-19T10:21:55Z,7814681,USD,NA
O-100144,C-0429,cancelled,2026-05-29T23:23:37Z,7948392,USD,APAC
O-100145,C-1955,pending,2025-06-20T00:34:28Z,35505,USD,EU
O-100146,C-1162,delivered,2025-12-17T07:27:44Z,9617785,USD,LATAM
O-100147,C-0929,delivered,2026-04-08T14:07:48Z,182094,USD,EU
O-100148,C-0201,shipped,2025-08-13T19:15:54Z,2237560,USD,NA
O-100149,C-1747,delivered,2025-05-04T17:24:30Z,3906117,JPY,EU
O-100150,C-0781,delivered,2026-06-22T20:24:58Z,217056,USD,APAC
O-100151,C-0642,pending,2025-07-30T08:55:31Z,2364912,USD,EU
O-100152,C-0171,delivered,2026-03-09T17:19:50Z,1934449,EUR,NA
O-100153,C-0108,delivered,2025-09-03T07:30:48Z,1865875,EUR,APAC
O-100154,C-1252,refunded,2026-05-03T02:41:57Z,6984505,USD,APAC
O-100155,C-0391,processing,2026-06-30T20:49:19Z,9245750,GBP,APAC
O-100156,C-1726,cancelled,2025-10-20T01:35:42Z,830676,USD,EU
O-100157,C-0368,delivered,2025-07-22T16:15:19Z,13128703,EUR,NA
O-100158,C-1008,delivered,2025-07-20T06:43:12Z,2028816,GBP,EU
O-100159,C-0615,shipped,2025-03-17T10:46:14Z,7262944,USD,NA
O-100160,C-0823,delivered,2026-03-02T22:57:12Z,389655,USD,LATAM
O-100161,C-1504,delivered,2025-08-21T05:44:13Z,7719292,GBP,NA
O-100162,C-1012,processing,2025-01-15T14:07:39Z,9282572,USD,NA
O-100163,C-1371,delivered,2025-11-19T09:06:37Z,5161838,JPY,APAC
O-100164,C-0842,processing,2026-06-01T17:47:21Z,2943811,USD,NA
O-100165,C-1351,delivered,2025-12-08T02:08:04Z,9600341,EUR,NA
O-100166,C-1221,processing,2025-12-30T03:21:08Z,967626,USD,EU
O-100167,C-0249,pending,2025-03-06T21:18:25Z,3367728,USD,NA
O-100168,C-1521,delivered,2025-01-05T15:13:33Z,10342389,USD,NA
O-100169,C-0895,delivered,2026-05-01T13:18:22Z,306264,USD,EU
O-100170,C-1000,delivered,2025-03-13T17:20:11Z,1781876,USD,NA
O-100171,C-1770,delivered,2025-06-09T11:06:00Z,3124686,USD,EU
O-100172,C-1950,delivered,2025-10-10T08:56:46Z,1872641,EUR,EU
O-100173,C-0112,cancelled,2026-06-11T12:25:05Z,4801205,USD,NA
O-100174,C-1197,pending,2025-08-11T14:08:38Z,7639619,EUR,EU
O-100175,C-0339,delivered,2025-11-11T13:50:00Z,2215145,EUR,NA
O-100176,C-1761,shipped,2025-01-30T17:59:49Z,1083875,USD,EU
O-100177,C-1792,shipped,2025-02-06T17:05:28Z,1710020,EUR,NA
O-100178,C-1899,delivered,2025-10-01T04:57:10Z,5697019,GBP,EU
O-100179,C-0893,processing,2025-04-28T19:23:52Z,1041149,JPY,NA
O-100180,C-1599,delivered,2025-10-19T19:51:57Z,1648546,USD,NA
O-100181,C-1789,delivered,2025-02-05T17:30:47Z,1206900,EUR,LATAM
O-100182,C-0550,delivered,2025-12-08T03:09:26Z,2629164,USD,LATAM
O-100183,C-1874,delivered,2025-08-12T07:32:06Z,5058830,GBP,APAC
O-100184,C-0798,delivered,2025-08-16T11:33:00Z,1404405,USD,LATAM
O-100185,C-0012,delivered,2025-02-18T03:20:48Z,9165235,USD,APAC
O-100186,C-1766,pending,2025-07-10T06:41:10Z,2369590,USD,EU
O-100187,C-0958,cancelled,2025-02-09T13:34:10Z,15680325,EUR,LATAM
O-100188,C-0049,delivered,2025-12-20T18:06:43Z,2953129,USD,NA
O-100189,C-1629,delivered,2025-04-02T20:40:58Z,2719306,GBP,EU
O-100190,C-1041,processing,2026-02-25T22:28:47Z,1321032,USD,EU
O-100191,C-1046,delivered,2025-09-10T19:48:44Z,2588042,EUR,NA
O-100192,C-0287,refunded,2025-10-08T04:27:54Z,612143,USD,APAC
O-100193,C-0675,delivered,2025-12-30T14:17:48Z,11586900,USD,APAC
O-100194,C-0247,pending,2026-05-09T07:10:46Z,17629778,USD,EU
O-100195,C-1918,pending,2026-01-18T14:58:45Z,8281906,USD,APAC
O-100196,C-1873,pending,2025-06-17T23:33:16Z,4402913,EUR,NA
O-100197,C-1047,delivered,2026-04-21T03:52:48Z,7211218,USD,EU
O-100198,C-0100,delivered,2025-02-09T19:04:17Z,102471,USD,NA
O-100199,C-0305,delivered,2025-04-06T14:43:04Z,3238521,USD,NA
O-100200,C-0455,cancelled,2025-10-30T10:24:18Z,14499800,USD,APAC
O-100201,C-1348,delivered,2025-09-02T18:12:43Z,5298264,EUR,EU
O-100202,C-0065,processing,2026-03-30T08:11:54Z,4627013,USD,NA
O-100203,C-1128,shipped,2025-11-16T02:49:32Z,339822,EUR,NA
O-100204,C-0017,delivered,2025-06-13T06:14:46Z,12044656,USD,NA
O-100205,C-1251,processing,2026-05-27T19:57:28Z,1489875,USD,NA
O-100206,C-0636,delivered,2026-03-01T07:12:05Z,10683655,GBP,APAC
O-100207,C-0088,processing,2025-12-27T11:36:54Z,5148842,USD,EU
O-100208,C-1086,delivered,2026-03-07T21:21:10Z,3936331,EUR,LATAM
O-100209,C-0943,delivered,2026-04-18T19:05:55Z,2286960,EUR,EU
O-100210,C-1293,shipped,2025-10-09T02:59:50Z,12916442,USD,EU
O-100211,C-1699,cancelled,2025-05-27T02:50:47Z,3204896,USD,EU
O-100212,C-1941,shipped,2025-01-09T18:08:58Z,12139861,USD,APAC
O-100213,C-1489,pending,2025-10-14T23:42:22Z,12548052,USD,EU
O-100214,C-0921,shipped,2025-05-02T18:38:37Z,8461492,EUR,NA
O-100215,C-1088,delivered,2026-03-11T00:07:41Z,8249096,EUR,EU
O-100216,C-0092,cancelled,2025-07-31T01:20:38Z,5817282,GBP,EU
O-100217,C-0773,cancelled,2025-12-22T15:18:20Z,11633331,GBP,EU
O-100218,C-0061,delivered,2025-11-25T03:55:26Z,1157478,EUR,NA
O-100219,C-1241,cancelled,2026-01-06T03:15:18Z,3774080,EUR,NA
O-100220,C-1485,shipped,2026-06-30T19:25:49Z,13454392,USD,EU
O-100221,C-1796,pending,2026-02-14T17:22:01Z,557755,USD,NA
O-100222,C-0997,delivered,2026-05-10T11:09:10Z,9854510,USD,EU
O-100223,C-0795,refunded,2025-07-29T19:02:20Z,4433100,USD,EU
O-100224,C-0921,delivered,2025-01-31T07:22:47Z,7610091,USD,APAC
O-100225,C-1067,delivered,2025-11-08T10:41:19Z,3499485,USD,NA
O-100226,C-0920,delivered,2025-10-27T23:11:50Z,8401825,USD,EU
O-100227,C-1360,pending,2025-04-27T06:24:18Z,18148080,USD,EU
O-100228,C-0949,delivered,2025-11-23T05:48:21Z,7158219,USD,NA
O-100229,C-0898,processing,2025-07-01T06:35:01Z,13253178,USD,EU
O-100230,C-0283,delivered,2026-05-18T11:04:21Z,8074709,GBP,NA
O-100231,C-0764,delivered,2026-05-14T05:01:47Z,20442031,USD,EU
O-100232,C-1188,delivered,2025-04-24T03:16:18Z,1800000,USD,EU
O-100233,C-0108,processing,2025-04-26T10:57:41Z,1813442,EUR,NA
O-100234,C-1239,processing,2026-03-17T01:33:55Z,60612,GBP,NA
O-100235,C-0881,delivered,2026-06-02T07:16:00Z,2904422,USD,NA
O-100236,C-1813,delivered,2025-07-28T18:09:34Z,17412512,EUR,NA
O-100237,C-1363,shipped,2026-03-20T04:57:37Z,2795456,USD,APAC
O-100238,C-0324,delivered,2025-11-05T05:34:32Z,3955620,USD,APAC
O-100239,C-1368,delivered,2025-02-21T01:12:22Z,7481408,GBP,APAC
O-100240,C-1870,delivered,2026-05-12T13:58:51Z,2022039,USD,NA
O-100241,C-0361,delivered,2025-12-23T00:51:53Z,10682883,JPY,APAC
O-100242,C-1376,delivered,2025-04-19T20:33:24Z,11928656,GBP,EU
O-100243,C-1377,pending,2025-03-03T18:34:56Z,8625567,USD,NA
O-100244,C-1797,delivered,2026-03-03T18:11:51Z,7830091,USD,EU
O-100245,C-0384,delivered,2025-02-24T04:16:58Z,6224690,EUR,APAC
O-100246,C-0102,pending,2025-03-18T20:55:58Z,3546283,USD,LATAM
O-100247,C-1236,cancelled,2025-12-22T17:27:04Z,16195586,EUR,NA
O-100248,C-0707,shipped,2026-02-13T00:18:12Z,8180131,USD,APAC
O-100249,C-1304,processing,2025-08-01T18:45:19Z,7260657,GBP,EU
O-100250,C-0045,delivered,2026-03-21T12:33:09Z,8223998,USD,NA
O-100251,C-0508,delivered,2026-05-10T00:55:12Z,11400520,USD,NA
O-100252,C-0369,delivered,2026-04-05T22:16:50Z,5050956,USD,NA
O-100253,C-1571,pending,2026-02-15T17:23:19Z,7503597,EUR,NA
O-100254,C-0457,delivered,2025-07-26T00:24:04Z,7121246,USD,EU
O-100255,C-0491,shipped,2026-04-20T01:46:15Z,8675424,EUR,NA
O-100256,C-1492,pending,2025-05-02T04:55:23Z,818718,USD,NA
O-100257,C-0806,delivered,2025-04-29T05:00:05Z,283842,USD,EU
O-100258,C-0538,processing,2026-03-07T00:20:02Z,7406600,USD,NA
O-100259,C-1274,delivered,2026-05-17T05:32:06Z,5691828,EUR,EU
O-100260,C-0829,delivered,2025-07-18T08:27:15Z,2422333,EUR,APAC
O-100261,C-0314,delivered,2026-01-21T06:42:47Z,11441228,USD,NA
O-100262,C-1014,shipped,2025-05-07T16:04:19Z,9690755,EUR,EU
O-100263,C-0549,delivered,2026-06-12T06:55:15Z,7029569,EUR,EU
O-100264,C-1824,shipped,2026-02-14T13:43:52Z,21680835,USD,APAC
O-100265,C-0340,delivered,2025-08-09T15:15:56Z,11601388,USD,APAC
O-100266,C-0914,shipped,2025-06-26T21:00:40Z,6736828,USD,EU
O-100267,C-1535,delivered,2025-12-28T00:20:19Z,823949,USD,EU
O-100268,C-0352,delivered,2025-11-26T10:44:26Z,11180104,USD,EU
O-100269,C-0466,delivered,2026-05-22T07:17:30Z,6762881,USD,EU
O-100270,C-0427,delivered,2026-03-09T01:58:17Z,2249820,USD,EU
O-100271,C-1587,delivered,2025-11-03T23:28:33Z,14863866,GBP,EU
O-100272,C-0533,processing,2025-06-10T07:41:05Z,86691,USD,NA
O-100273,C-0914,shipped,2025-03-17T08:41:27Z,25014200,USD,EU
O-100274,C-0770,shipped,2025-09-03T02:43:26Z,9504212,JPY,EU
O-100275,C-1698,delivered,2026-01-19T01:12:16Z,17561515,USD,EU
O-100276,C-1326,delivered,2025-09-06T22:26:12Z,2813296,EUR,APAC
O-100277,C-1619,delivered,2025-05-29T17:39:21Z,4193719,USD,EU
O-100278,C-1698,processing,2025-11-18T18:11:41Z,12779740,USD,APAC
O-100279,C-0554,delivered,2025-01-02T03:24:09Z,5570857,EUR,NA
O-100280,C-0776,shipped,2025-12-25T09:49:34Z,17928838,USD,APAC
O-100281,C-1996,delivered,2025-02-15T13:28:25Z,5039024,USD,NA
O-100282,C-1605,delivered,2025-11-28T01:24:45Z,2786192,EUR,NA
O-100283,C-0452,pending,2025-12-26T12:15:45Z,354858,USD,APAC
O-100284,C-1590,pending,2025-08-19T04:08:15Z,7819122,USD,EU
O-100285,C-1645,shipped,2025-03-28T13:14:52Z,581560,USD,NA
O-100286,C-0816,delivered,2026-04-15T01:31:27Z,8990275,USD,NA
O-100287,C-1346,pending,2026-05-12T22:27:52Z,12200981,EUR,EU
O-100288,C-1905,shipped,2026-06-07T19:29:13Z,15067668,USD,EU
O-100289,C-1538,delivered,2026-02-06T14:59:58Z,17876587,USD,EU
O-100290,C-0826,refunded,2025-11-01T05:58:34Z,545530,USD,NA
O-100291,C-1923,shipped,2025-01-10T11:36:51Z,14361783,GBP,LATAM
O-100292,C-1664,refunded,2025-06-17T20:02:20Z,115390,USD,APAC
O-100293,C-0783,delivered,2026-02-10T08:35:54Z,11647985,JPY,NA
O-100294,C-0492,delivered,2025-11-23T07:59:03Z,9281064,EUR,NA
O-100295,C-1309,delivered,2026-02-23T09:48:16Z,7126049,USD,NA
O-100296,C-0054,delivered,2025-12-08T20:01:12Z,6534885,USD,NA
O-100297,C-1398,pending,2025-02-20T10:00:46Z,7242726,USD,EU
O-100298,C-1157,cancelled,2026-05-02T04:59:37Z,2469296,JPY,EU
O-100299,C-0044,shipped,2025-11-27T20:19:17Z,4778586,JPY,NA
O-100300,C-1784,processing,2025-03-16T13:53:18Z,1096470,USD,APAC
O-100301,C-0839,cancelled,2025-12-31T02:52:24Z,4527702,USD,LATAM
O-100302,C-0024,delivered,2026-05-18T22:53:39Z,2897671,USD,EU
O-100303,C-0749,delivered,2026-02-08T20:06:27Z,4205440,GBP,NA
O-100304,C-0312,shipped,2026-04-20T09:37:52Z,12299601,USD,APAC
O-100305,C-0371,refunded,2025-02-28T11:22:57Z,3740516,USD,NA
O-100306,C-0476,delivered,2026-04-29T17:09:06Z,16435993,EUR,LATAM
O-100307,C-0339,delivered,2025-05-14T19:58:04Z,9733924,USD,EU
O-100308,C-1103,processing,2025-03-12T23:52:55Z,802032,USD,EU
O-100309,C-1328,pending,2026-01-06T17:17:37Z,328488,USD,NA
O-100310,C-0432,shipped,2025-10-09T13:32:23Z,2760260,JPY,APAC
O-100311,C-0029,delivered,2025-06-17T13:05:28Z,8407651,USD,NA
O-100312,C-0571,delivered,2026-06-27T16:08:11Z,2843687,USD,EU
O-100313,C-0405,cancelled,2025-10-18T07:52:23Z,5098074,USD,NA
O-100314,C-0350,shipped,2025-08-16T06:34:15Z,16506752,USD,APAC
O-100315,C-0369,shipped,2025-12-17T22:17:58Z,4782498,USD,NA
O-100316,C-0446,delivered,2026-02-11T16:10:30Z,5092745,USD,NA
O-100317,C-0416,cancelled,2026-06-01T01:10:55Z,4950972,USD,NA
O-100318,C-1928,delivered,2025-01-19T23:52:48Z,8835393,JPY,NA
O-100319,C-0778,pending,2026-02-28T04:10:57Z,6583612,USD,EU
O-100320,C-1209,shipped,2026-01-03T00:46:16Z,8712504,USD,NA
O-100321,C-1513,refunded,2025-05-17T13:49:50Z,4716759,EUR,EU
O-100322,C-1532,delivered,2025-06-01T15:46:57Z,11565586,EUR,EU
O-100323,C-0317,cancelled,2025-04-29T23:42:09Z,6556709,USD,LATAM
O-100324,C-0551,processing,2025-04-13T03:32:06Z,4216006,USD,EU
O-100325,C-1808,cancelled,2025-02-04T11:01:00Z,12963607,GBP,NA
O-100326,C-0409,delivered,2025-04-29T00:47:23Z,279806,USD,NA
O-100327,C-0031,delivered,2025-05-25T02:44:13Z,26876425,USD,NA
O-100328,C-0738,delivered,2025-09-16T16:35:37Z,11017234,EUR,EU
O-100329,C-0288,delivered,2025-05-11T13:49:17Z,2981255,USD,EU
O-100330,C-1812,cancelled,2025-12-24T14:17:16Z,1024163,USD,EU
O-100331,C-1598,refunded,2026-02-02T04:02:42Z,8252854,USD,EU
O-100332,C-0356,delivered,2026-01-19T23:22:11Z,2696344,JPY,APAC
O-100333,C-1465,shipped,2026-06-16T05:43:46Z,6414528,GBP,NA
O-100334,C-1580,shipped,2025-12-31T06:22:40Z,14293274,USD,EU
O-100335,C-1968,delivered,2026-02-13T06:04:09Z,4887591,EUR,EU
O-100336,C-0731,shipped,2025-12-09T08:27:28Z,12983960,USD,NA
O-100337,C-0436,delivered,2025-02-26T01:16:44Z,1300338,USD,NA
O-100338,C-1441,delivered,2025-04-20T04:09:27Z,6212073,USD,NA
O-100339,C-0050,pending,2025-04-01T08:53:39Z,6422457,USD,NA
O-100340,C-0705,delivered,2025-02-03T00:40:16Z,1454700,USD,APAC
O-100341,C-1350,pending,2025-09-09T13:04:38Z,4949346,USD,NA
O-100342,C-0037,delivered,2026-05-30T13:58:39Z,12281766,USD,NA
O-100343,C-1818,shipped,2025-03-12T15:50:59Z,1434654,EUR,NA
O-100344,C-1262,delivered,2025-07-03T11:28:09Z,11714318,EUR,NA
O-100345,C-0747,delivered,2026-03-20T19:50:01Z,4343497,JPY,NA
O-100346,C-0743,delivered,2025-11-09T10:28:52Z,4296039,EUR,NA
O-100347,C-1922,delivered,2025-07-09T17:12:58Z,1352556,USD,APAC
O-100348,C-0424,delivered,2025-04-08T12:53:39Z,3841575,USD,NA
O-100349,C-1998,delivered,2025-08-29T07:37:24Z,1717088,USD,APAC
O-100350,C-1154,delivered,2025-10-26T04:15:08Z,7223008,USD,LATAM
O-100351,C-1205,delivered,2026-01-27T18:08:45Z,4811255,USD,NA
O-100352,C-0636,delivered,2025-07-07T07:42:04Z,9156254,EUR,NA
O-100353,C-1297,cancelled,2025-10-15T12:26:18Z,552564,GBP,NA
