order_id,line_no,part_id,qty,unit_price_cents
O-100149,1,P-00128,3,216581
O-100149,2,P-00001,7,183295
O-100149,3,P-03408,17,116077
O-100150,1,P-01402,21,10336
O-100151,1,P-02268,16,147807
O-100152,1,P-02481,11,175859
O-100153,1,P-04688,11,169625
O-100154,1,P-03948,20,85054
O-100154,2,P-03328,25,211337
O-100155,1,P-03971,2,735686
O-100155,2,P-04973,11,393048
O-100155,3,P-03581,9,372051
O-100155,4,P-03418,17,6023
O-100156,1,P-02240,6,138446
O-100157,1,P-04098,25,14012
O-100157,2,P-03400,24,90122
O-100157,3,P-00899,25,424619
O-100158,1,P-04085,4,263868
O-100158,2,P-04088,4,243336
O-100159,1,P-00173,12,243552
O-100159,2,P-00620,16,256964
O-100159,3,P-04650,2,13873
O-100159,4,P-04090,18,9844
O-100159,5,P-02706,6,3993
O-100160,1,P-02152,9,43295
O-100161,1,P-02135,24,208457
O-100161,2,P-01188,13,208948
O-100162,1,P-00358,4,59167
O-100162,2,P-00531,8,670313
O-100162,3,P-02691,15,245560
O-100163,1,P-04177,10,109391
O-100163,2,P-02065,5,391134
O-100163,3,P-03640,9,121600
O-100163,4,P-00353,3,339286
O-100164,1,P-03648,13,226447
O-100165,1,P-00638,19,51201
O-100165,2,P-02169,16,378767
O-100165,3,P-01802,5,7346
O-100165,4,P-03490,22,15000
O-100165,5,P-02949,8,275065
O-100166,1,P-02564,9,107514
O-100167,1,P-03543,12,204593
O-100167,2,P-00114,25,6313
O-100167,3,P-00659,4,158423
O-100167,4,P-03746,23,5265
O-100168,1,P-04536,10,96927
O-100168,2,P-02052,12,107578
O-100168,3,P-01467,12,437084
O-100168,4,P-04153,15,189145
O-100169,1,P-03551,14,21876
O-100170,1,P-04533,10,171739
O-100170,2,P-01906,19,3394
O-100171,1,P-00908,6,65086
O-100171,2,P-02969,15,182278
O-100172,1,P-03464,9,131839
O-100172,2,P-03800,23,29830
O-100173,1,P-02829,19,252695
O-100174,1,P-04841,3,369649
O-100174,2,P-04370,6,14499
O-100174,3,P-04420,22,169624
O-100174,4,P-00240,25,108478
O-100175,1,P-03400,24,90122
O-100175,2,P-00787,1,52217
O-100176,1,P-00573,13,83375
O-100177,1,P-03750,8,45637
O-100177,2,P-00511,12,112077
O-100178,1,P-01010,13,3804
O-100178,2,P-03207,25,223108
O-100178,3,P-03590,3,23289
O-100179,1,P-04438,13,32249
O-100179,2,P-03249,2,139111
O-100179,3,P-01580,5,68738
O-100180,1,P-00497,6,220172
O-100180,2,P-01214,11,29774
O-100181,1,P-03173,20,60345
O-100182,1,P-04579,4,210396
O-100182,2,P-04080,18,99310
O-100183,1,P-00037,14,361345
O-100184,1,P-04617,1,238030
O-100184,2,P-01896,25,46655
O-100185,1,P-00011,2,701545
O-100185,2,P-04372,13,233554
O-100185,3,P-04991,9,125444
O-100185,4,P-04068,19,189313
O-100186,1,P-02332,10,236959
O-100187,1,P-01988,5,277504
O-100187,2,P-00473,16,336732
O-100187,3,P-02153,21,290105
O-100187,4,P-03850,17,9531
O-100187,5,P-00121,19,139519
O-100188,1,P-00036,11,159335
O-100188,2,P-00392,21,57164
O-100189,1,P-04022,16,4239
O-100189,2,P-02691,7,245560
O-100189,3,P-02448,18,51809
O-100190,1,P-03136,6,220172
O-100191,1,P-02579,1,25000
O-100191,2,P-01833,12,203348
O-100191,3,P-01506,23,5342
O-100192,1,P-00960,7,87449
O-100193,1,P-04180,4,312385
O-100193,2,P-03883,7,215302
O-100193,3,P-02831,20,97584
O-100193,4,P-00111,24,116198
O-100193,5,P-02961,23,177818
O-100194,1,P-00759,5,81383
O-100194,2,P-02372,1,234695
O-100194,3,P-00835,23,738616
O-100195,1,P-03062,14,34641
O-100195,2,P-00555,19,399868
O-100195,3,P-02714,20,9972
O-100196,1,P-01192,19,39036
O-100196,2,P-03135,9,117365
O-100196,3,P-04602,15,7800
O-100196,4,P-04684,8,310993
O-100197,1,P-03029,7,316614
O-100197,2,P-01460,20,249746
O-100198,1,P-03596,3,34157
O-100199,1,P-00710,18,64868
O-100199,2,P-01122,3,9377
O-100199,3,P-02564,19,107514
O-100200,1,P-02437,22,174992
O-100200,2,P-01701,23,352491
O-100200,3,P-03503,7,138924
O-100200,4,P-02867,3,523405
O-100201,1,P-03055,25,187128
O-100201,2,P-03447,4,113889
O-100201,3,P-04522,12,13709
O-100202,1,P-03126,18,13141
O-100202,2,P-01907,15,132957
O-100202,3,P-00884,20,119806
O-100203,1,P-01055,7,48546
O-100204,1,P-04303,1,181136
O-100204,2,P-01961,25,450000
O-100204,3,P-00850,5,13051
O-100204,4,P-04670,11,27115
O-100204,5,P-03167,1,250000
O-100205,1,P-00199,25,59595
O-100206,1,P-04220,16,153627
O-100206,2,P-02484,21,78264
O-100206,3,P-03829,5,155651
O-100206,4,P-00329,13,446448
O-100207,1,P-03429,1,290763
O-100207,2,P-03495,12,172665
O-100207,3,P-01660,7,317623
O-100207,4,P-03386,16,7592
O-100207,5,P-04125,7,63038
O-100208,1,P-01649,2,325245
O-100208,2,P-01556,19,172939
O-100209,1,P-02414,16,61836
O-100209,2,P-03803,2,648792
O-100210,1,P-01136,17,159988
O-100210,2,P-00855,22,147138
O-100210,3,P-00027,21,257108
O-100210,4,P-04616,21,74302
O-100211,1,P-04141,14,202105
O-100211,2,P-00558,18,20857
O-100212,1,P-04131,16,559588
O-100212,2,P-04290,19,11567
O-100212,3,P-00519,2,250000
O-100212,4,P-01308,10,246668
O-100213,1,P-02643,18,341350
O-100213,2,P-04126,25,56305
O-100213,3,P-00191,3,125867
O-100213,4,P-03460,22,209933
O-100214,1,P-04995,7,535354
O-100214,2,P-03739,4,275752
O-100214,3,P-04953,2,278406
O-100214,4,P-03628,18,144435
O-100214,5,P-00069,2,227182
O-100215,1,P-02118,15,44829
O-100215,2,P-02109,18,274310
O-100215,3,P-04348,19,138899
O-100216,1,P-02089,11,146280
O-100216,2,P-03412,18,233789
O-100217,1,P-00491,3,25000
O-100217,2,P-01498,22,8556
O-100217,3,P-00819,17,615077
O-100217,4,P-01774,23,39730
O-100218,1,P-02623,21,55118
O-100219,1,P-04352,16,235880
O-100220,1,P-01976,5,110036
O-100220,2,P-03595,14,552426
O-100220,3,P-00876,24,215427
O-100221,1,P-02734,11,50705
O-100222,1,P-01641,4,251901
O-100222,2,P-00638,16,51201
O-100222,3,P-02325,22,292233
O-100222,4,P-01369,11,145324
O-100223,1,P-02018,16,300
O-100223,2,P-01609,18,187666
O-100223,3,P-00912,6,175052
O-100224,1,P-03347,17,424258
O-100224,2,P-03562,10,3526
O-100224,3,P-01105,1,186105
O-100224,4,P-00263,15,11756
O-100225,1,P-02721,15,233299
O-100226,1,P-04187,21,361556
O-100226,2,P-02594,5,7744
O-100226,3,P-03502,11,61867
O-100226,4,P-02810,11,8172
O-100227,1,P-03293,6,269334
O-100227,2,P-03723,19,821530
O-100227,3,P-01430,20,35547
O-100227,4,P-04999,2,106033
O-100228,1,P-00193,4,222150
O-100228,2,P-00811,8,292385
O-100228,3,P-02576,17,143233
O-100228,4,P-02129,6,249263
O-100229,1,P-01792,22,8000
O-100229,2,P-01939,25,216257
O-100229,3,P-01106,20,8668
O-100229,4,P-01663,17,73741
O-100229,5,P-04395,13,480292
O-100230,1,P-03452,3,188826
O-100230,2,P-01530,2,9408
O-100230,3,P-04613,8,406023
O-100230,4,P-03378,12,11056
O-100230,5,P-03529,13,316043
O-100231,1,P-01645,23,335777
O-100231,2,P-04020,10,228481
O-100231,3,P-00649,25,417374
O-100232,1,P-03267,2,900000
O-100233,1,P-03198,14,12617
O-100233,2,P-00298,3,1288
O-100233,3,P-04797,10,163294
O-100234,1,P-04894,4,15153
O-100235,1,P-02548,2,294591
O-100235,2,P-02037,4,258810
O-100235,3,P-00318,16,80000
O-100236,1,P-02443,6,688608
O-100236,2,P-01281,23,402573
O-100236,3,P-00035,5,749337
O-100236,4,P-02579,11,25000
O-100237,1,P-00463,25,35033
O-100237,2,P-04089,7,274233
O-100238,1,P-04666,2,2172
O-100238,2,P-00869,21,174196
O-100238,3,P-00376,18,8000
O-100238,4,P-03666,22,6780
O-100239,1,P-01749,22,340064
O-100240,1,P-03336,9,224671
O-100241,1,P-02009,21,279223
O-100241,2,P-02541,10,444420
O-100241,3,P-04713,25,15000
O-100242,1,P-00499,10,330208
O-100242,2,P-02621,16,198368
O-100242,3,P-01577,16,340793
O-100243,1,P-04165,23,284925
O-100243,2,P-03064,19,109068
O-100244,1,P-04912,11,100599
O-100244,2,P-04596,19,99658
O-100244,3,P-04044,24,201250
O-100245,1,P-04337,25,238690
O-100245,2,P-01350,8,32180
O-100246,1,P-00168,21,87958
O-100246,2,P-02017,5,339833
O-100247,1,P-01862,19,48865
O-100247,2,P-01867,23,646817
O-100247,3,P-01192,10,39036
O-100248,1,P-02314,15,9775
O-100248,2,P-00441,5,325280
O-100248,3,P-02417,9,374419
O-100248,4,P-03871,21,144635
O-100249,1,P-01730,14,3947
O-100249,2,P-02424,15,189831
O-100249,3,P-00842,21,11068
O-100249,4,P-04612,22,154373
O-100249,5,P-00084,3,243100
O-100250,1,P-04161,19,250180
O-100250,2,P-01353,19,182662
O-100251,1,P-01038,20,23834
O-100251,2,P-03471,16,112087
O-100251,3,P-02913,25,65550
O-100251,4,P-04145,2,371124
O-100251,5,P-02857,25,269978
O-100252,1,P-03847,19,174405
O-100252,2,P-04619,3,388735
O-100252,3,P-04694,12,47588
O-100253,1,P-03104,21,175472
O-100253,2,P-02870,5,35317
O-100253,3,P-00959,25,145684
O-100254,1,P-00220,21,137585
O-100254,2,P-04212,7,186242
O-100254,3,P-00165,3,308489
O-100254,4,P-03395,24,83450
O-100255,1,P-04423,24,28699
O-100255,2,P-02208,16,8088
O-100255,3,P-02672,7,193598
O-100255,4,P-00169,23,282698
O-100256,1,P-00585,6,136453
O-100257,1,P-02617,9,31538
O-100258,1,P-03734,12,10835
O-100258,2,P-00425,1,260521
O-100258,3,P-03995,15,463274
O-100258,4,P-00478,1,66949
O-100259,1,P-03153,6,79958
O-100259,2,P-01781,15,347472
O-100260,1,P-01065,11,135848
O-100260,2,P-03502,15,61867
O-100261,1,P-00329,15,446448
O-100261,2,P-03943,20,39886
O-100261,3,P-04206,17,30596
O-100261,4,P-01980,16,214166
O-100262,1,P-04825,4,336663
O-100262,2,P-03561,17,169295
O-100262,3,P-01599,10,12193
O-100262,4,P-03186,12,6712
O-100262,5,P-04635,9,584846
O-100263,1,P-04153,15,189145
O-100263,2,P-02969,23,182278
O-100264,1,P-00147,11,581947
O-100264,2,P-00825,20,290357
O-100264,3,P-03436,24,117207
O-100264,4,P-02883,19,344913
O-100264,5,P-00858,11,9633
O-100265,1,P-00810,7,12126
O-100265,2,P-02959,7,169150
O-100265,3,P-02716,3,154915
O-100265,4,P-01835,21,469891
O-100266,1,P-04056,3,273404
O-100266,2,P-02700,20,148219
O-100266,3,P-03137,14,210874
O-100267,1,P-00923,1,648033
O-100267,2,P-00168,2,87958
O-100268,1,P-02923,12,617989
O-100268,2,P-04275,4,340320
O-100268,3,P-03802,21,4593
O-100268,4,P-00463,5,35033
O-100268,5,P-00041,11,193758
O-100269,1,P-01584,7,214776
O-100269,2,P-00783,16,46820
O-100269,3,P-00023,13,151313
O-100269,4,P-02711,20,127163
O-100270,1,P-04080,22,99310
O-100270,2,P-02351,13,5000
O-100271,1,P-02599,24,52963
O-100271,2,P-01593,12,304450
O-100271,3,P-00728,6,116867
O-100271,4,P-00629,22,419916
O-100272,1,P-03642,11,7881
O-100273,1,P-04987,19,742708
O-100273,2,P-02193,23,450000
O-100273,3,P-00943,19,29092
O-100274,1,P-01441,9,246497
O-100274,2,P-02153,1,290105
O-100274,3,P-01659,19,356822
O-100274,4,P-04530,23,9392
