warehouse_id,part_id,on_hand,reserved,reorder_point,updated_at
W-03,P-00102,1083,251,183,2026-06-13T04:18:58Z
W-02,P-00103,1265,196,129,2026-06-12T07:24:41Z
W-03,P-00104,1621,195,233,2026-06-08T19:59:23Z
W-08,P-00104,672,18,85,2026-06-28T13:04:33Z
W-01,P-00104,1850,451,239,2026-06-24T19:43:57Z
W-04,P-00105,308,32,179,2026-06-22T01:05:40Z
W-07,P-00106,480,97,239,2026-06-02T21:50:24Z
W-06,P-00106,798,118,217,2026-06-12T04:54:00Z
W-02,P-00106,1688,264,279,2026-06-25T03:09:04Z
W-01,P-00107,1127,128,151,2026-06-29T15:12:49Z
W-07,P-00107,1946,105,204,2026-06-23T18:17:58Z
W-04,P-00107,1938,160,210,2026-06-27T20:37:38Z
W-01,P-00108,1988,33,225,2026-06-20T02:53:07Z
W-08,P-00108,1822,274,236,2026-06-17T13:34:19Z
W-04,P-00108,379,73,168,2026-06-05T04:15:05Z
W-05,P-00109,793,41,109,2026-06-23T08:00:33Z
W-07,P-00109,881,128,117,2026-06-19T20:16:26Z
W-06,P-00109,1623,77,242,2026-06-20T15:26:52Z
W-08,P-00110,1359,247,54,2026-06-06T00:07:20Z
W-06,P-00110,1134,203,236,2026-06-04T15:36:43Z
W-03,P-00111,1031,64,163,2026-06-13T13:02:06Z
W-01,P-00111,354,4,95,2026-06-27T04:47:31Z
W-07,P-00111,1453,308,263,2026-06-10T23:27:50Z
W-06,P-00112,198,7,67,2026-06-05T07:23:48Z
W-07,P-00112,1844,260,219,2026-06-11T16:29:34Z
W-03,P-00112,1772,367,75,2026-06-19T17:38:56Z
W-07,P-00113,172,42,244,2026-06-05T00:10:14Z
W-06,P-00113,426,82,131,2026-06-14T09:13:21Z
W-01,P-00114,456,35,258,2026-06-08T07:32:09Z
W-02,P-00114,1270,41,103,2026-06-05T01:31:57Z
W-03,P-00115,807,63,233,2026-06-06T05:17:28Z
W-05,P-00115,884,80,50,2026-06-12T07:34:15Z
W-08,P-00116,390,20,88,2026-06-14T11:01:37Z
W-03,P-00117,1429,317,280,2026-06-15T03:05:33Z
W-06,P-00117,599,11,205,2026-06-07T08:41:38Z
W-07,P-00118,553,86,224,2026-06-20T11:24:34Z
W-01,P-00118,966,0,256,2026-06-16T02:42:58Z
W-02,P-00118,70,17,200,2026-06-09T03:31:00Z
W-02,P-00119,903,90,217,2026-06-18T19:28:34Z
W-04,P-00120,1219,263,224,2026-06-12T08:24:37Z
W-02,P-00120,48,1,235,2026-06-16T17:53:01Z
W-03,P-00120,1186,100,258,2026-06-21T07:29:55Z
W-05,P-00121,1117,277,117,2026-06-08T12:37:03Z
W-03,P-00121,998,39,86,2026-06-20T03:39:44Z
W-06,P-00122,770,61,216,2026-06-29T07:39:20Z
W-01,P-00122,31,4,53,2026-06-28T02:21:47Z
W-05,P-00122,310,4,296,2026-06-30T13:57:38Z
W-05,P-00123,281,33,288,2026-06-03T00:04:25Z
W-08,P-00123,572,33,261,2026-06-26T02:44:34Z
W-04,P-00123,1157,54,298,2026-06-11T12:30:44Z
W-01,P-00124,60,2,189,2026-06-30T09:46:09Z
W-04,P-00125,1140,162,279,2026-06-30T06:05:55Z
W-05,P-00125,324,19,282,2026-06-25T02:49:30Z
W-06,P-00125,170,25,169,2026-06-24T18:46:03Z
W-03,P-00126,1654,406,215,2026-06-25T17:19:27Z
W-01,P-00127,1084,229,224,2026-06-28T05:58:40Z
W-04,P-00127,1596,202,104,2026-06-19T08:56:23Z
W-05,P-00127,1508,343,58,2026-06-28T10:11:34Z
W-01,P-00128,941,34,78,2026-06-14T11:57:42Z
W-02,P-00128,1333,128,259,2026-06-08T01:56:12Z
W-05,P-00128,1996,281,266,2026-06-21T11:47:52Z
W-05,P-00129,1270,110,123,2026-06-01T04:28:07Z
W-01,P-00129,439,30,271,2026-06-21T04:20:18Z
W-01,P-00130,889,125,130,2026-06-13T23:50:46Z
W-07,P-00130,1232,83,156,2026-06-12T03:08:59Z
W-03,P-00130,257,44,72,2026-06-10T01:03:45Z
W-07,P-00131,764,48,108,2026-06-15T11:30:33Z
W-05,P-00132,1120,147,129,2026-06-27T21:48:38Z
W-03,P-00132,1359,195,206,2026-06-28T03:11:37Z
W-08,P-00133,1798,225,191,2026-06-14T18:30:59Z
W-01,P-00133,1144,116,112,2026-06-17T08:36:49Z
W-03,P-00133,262,23,253,2026-06-26T12:34:14Z
W-06,P-00134,1456,117,229,2026-06-05T22:29:06Z
W-01,P-00134,1915,449,215,2026-06-20T12:30:09Z
W-08,P-00134,666,138,295,2026-06-24T01:39:52Z
W-04,P-00135,1751,316,274,2026-06-11T12:59:41Z
W-06,P-00135,1257,187,258,2026-06-25T09:43:24Z
W-07,P-00136,956,91,161,2026-06-14T03:48:09Z
W-05,P-00136,176,28,140,2026-06-13T12:38:56Z
W-02,P-00137,1713,115,162,2026-06-15T15:56:38Z
W-01,P-00137,955,222,208,2026-06-28T19:26:52Z
W-08,P-00137,270,7,91,2026-06-29T15:54:35Z
W-07,P-00138,1231,235,140,2026-06-24T18:51:45Z
W-03,P-00138,680,67,207,2026-06-02T03:49:30Z
W-01,P-00139,411,51,62,2026-06-16T09:44:30Z
W-05,P-00139,890,67,164,2026-06-03T13:46:52Z
W-08,P-00139,365,62,267,2026-06-14T04:47:43Z
W-01,P-00140,144,32,193,2026-06-12T07:21:49Z
W-07,P-00141,885,217,232,2026-06-16T05:54:59Z
W-03,P-00142,129,32,83,2026-06-30T00:58:44Z
W-02,P-00143,1353,143,89,2026-06-23T01:31:54Z
W-05,P-00143,671,152,97,2026-06-10T00:40:34Z
W-08,P-00144,201,23,244,2026-06-12T04:01:03Z
W-04,P-00144,1772,352,249,2026-06-21T02:35:53Z
W-07,P-00144,783,56,220,2026-06-06T01:09:58Z
W-07,P-00145,49,6,168,2026-06-12T01:34:58Z
W-01,P-00146,62,4,152,2026-06-18T22:55:27Z
W-06,P-00146,1537,30,173,2026-06-28T01:51:55Z
W-02,P-00146,529,72,153,2026-06-18T19:14:01Z
W-05,P-00147,695,98,237,2026-06-15T02:35:58Z
W-08,P-00148,1772,265,58,2026-06-25T11:39:00Z
W-01,P-00149,669,155,205,2026-06-17T18:15:46Z
W-07,P-00149,1479,224,196,2026-06-19T16:02:32Z
W-05,P-00150,1439,126,203,2026-06-28T23:06:03Z
W-07,P-00151,1258,304,267,2026-06-10T11:06:22Z
W-08,P-00152,1151,19,104,2026-06-19T08:23:28Z
W-03,P-00152,1209,151,145,2026-06-07T12:16:19Z
W-02,P-00153,859,199,213,2026-06-22T02:04:33Z
W-06,P-00153,266,56,219,2026-06-04T10:26:07Z
W-04,P-00154,204,31,177,2026-06-16T23:53:04Z
W-07,P-00155,477,67,269,2026-06-21T12:39:22Z
W-05,P-00155,397,5,152,2026-06-12T17:41:27Z
W-04,P-00155,539,129,219,2026-06-05T12:36:56Z
W-07,P-00156,417,46,261,2026-06-06T12:35:13Z
W-02,P-00157,205,14,148,2026-06-29T15:13:20Z
W-04,P-00158,153,26,93,2026-06-01T13:51:22Z
W-03,P-00158,1184,267,204,2026-06-06T02:45:33Z
W-01,P-00158,1251,241,180,2026-06-26T17:48:29Z
W-08,P-00159,783,147,250,2026-06-15T03:15:00Z
W-05,P-00159,1660,127,87,2026-06-03T10:07:24Z
W-06,P-00159,447,33,253,2026-06-03T14:58:35Z
W-04,P-00160,1461,47,239,2026-06-14T19:21:03Z
W-08,P-00160,1468,93,174,2026-06-29T19:49:22Z
W-02,P-00161,1350,36,287,2026-06-17T05:42:03Z
W-06,P-00161,1467,247,236,2026-06-02T07:18:59Z
W-02,P-00162,1082,56,119,2026-06-11T22:59:43Z
W-08,P-00163,1909,125,298,2026-06-11T17:15:15Z
W-04,P-00164,662,140,73,2026-06-25T01:47:08Z
W-08,P-00164,1563,360,97,2026-06-23T03:54:57Z
W-02,P-00165,1063,197,84,2026-06-04T20:59:34Z
W-01,P-00165,1937,311,198,2026-06-20T10:43:08Z
W-03,P-00166,1910,155,102,2026-06-25T04:30:39Z
W-05,P-00166,774,12,230,2026-06-10T04:42:54Z
W-07,P-00166,934,34,126,2026-06-27T07:40:02Z
W-02,P-00167,108,24,143,2026-06-24T06:47:43Z
W-08,P-00167,242,6,220,2026-06-26T09:36:02Z
W-07,P-00167,938,218,58,2026-06-05T00:05:20Z
W-07,P-00168,1497,351,90,2026-06-27T17:48:03Z
W-02,P-00168,1705,231,93,2026-06-18T21:04:55Z
W-06,P-00168,1597,173,288,2026-06-10T20:15:01Z
W-05,P-00169,1094,38,193,2026-06-15T20:03:19Z
W-07,P-00169,886,39,138,2026-06-06T00:52:48Z
W-03,P-00170,1956,154,206,2026-06-17T02:55:17Z
W-06,P-00171,1139,177,200,2026-06-08T18:49:17Z
W-07,P-00171,239,18,291,2026-06-13T10:10:23Z
W-02,P-00172,1225,97,160,2026-06-19T02:15:23Z
W-04,P-00172,125,10,184,2026-06-21T21:29:20Z
W-03,P-00173,401,61,78,2026-06-22T18:53:20Z
W-01,P-00173,204,27,102,2026-06-08T02:43:21Z
W-06,P-00174,1816,14,51,2026-06-17T07:22:26Z
W-02,P-00175,33,6,259,2026-06-12T05:04:10Z
W-05,P-00175,1518,241,291,2026-06-14T14:23:03Z
W-04,P-00175,501,97,265,2026-06-06T18:06:06Z
W-08,P-00176,957,144,274,2026-06-20T03:29:02Z
W-04,P-00176,825,159,81,2026-06-30T13:26:38Z
W-07,P-00176,1868,87,134,2026-06-17T10:34:27Z
W-04,P-00177,484,99,230,2026-06-01T18:06:58Z
W-08,P-00177,178,38,280,2026-06-19T09:57:13Z
W-05,P-00177,1903,2,243,2026-06-03T19:17:05Z
W-06,P-00178,1408,88,243,2026-06-20T21:52:01Z
W-04,P-00179,1813,266,67,2026-06-28T09:40:24Z
W-01,P-00179,137,4,141,2026-06-11T07:30:06Z
W-06,P-00180,1773,249,287,2026-06-08T13:49:38Z
W-04,P-00180,969,71,210,2026-06-29T10:18:17Z
W-04,P-00181,280,51,189,2026-06-18T11:31:45Z
W-06,P-00181,1614,123,76,2026-06-10T04:44:05Z
W-08,P-00182,1492,332,251,2026-06-07T21:47:28Z
W-04,P-00183,1872,137,149,2026-06-26T13:28:27Z
W-06,P-00183,780,12,132,2026-06-05T19:05:01Z
W-08,P-00183,1184,252,120,2026-06-27T06:55:23Z
W-03,P-00184,1591,319,224,2026-06-11T01:53:41Z
W-02,P-00184,66,13,238,2026-06-16T18:34:26Z
W-05,P-00184,974,69,76,2026-06-29T19:53:35Z
W-07,P-00185,979,26,124,2026-06-05T19:44:46Z
W-03,P-00185,1092,51,96,2026-06-29T07:15:57Z
W-07,P-00186,179,29,60,2026-06-30T21:30:48Z
W-08,P-00186,162,37,258,2026-06-24T13:57:09Z
W-03,P-00187,1872,284,106,2026-06-18T17:09:36Z
W-04,P-00187,1601,372,255,2026-06-23T06:00:07Z
W-06,P-00187,435,53,234,2026-06-27T05:39:22Z
W-06,P-00188,931,37,177,2026-06-11T10:07:02Z
W-07,P-00188,669,96,152,2026-06-03T15:08:06Z
W-03,P-00189,1709,270,211,2026-06-16T03:32:16Z
W-01,P-00189,684,92,71,2026-06-16T13:12:54Z
W-07,P-00190,1170,87,147,2026-06-15T17:57:17Z
W-02,P-00190,1895,260,171,2026-06-19T22:51:23Z
W-08,P-00190,589,99,155,2026-06-01T00:53:07Z
W-02,P-00191,994,192,105,2026-06-24T10:20:12Z
W-03,P-00191,958,11,139,2026-06-19T21:43:58Z
W-06,P-00192,1968,103,202,2026-06-06T20:41:30Z
W-02,P-00192,1576,208,220,2026-06-11T10:06:12Z
W-08,P-00193,103,8,205,2026-06-14T21:48:30Z
W-04,P-00193,1231,271,205,2026-06-14T15:57:24Z
W-07,P-00193,1416,151,219,2026-06-07T03:34:50Z
W-04,P-00194,149,30,205,2026-06-19T23:58:11Z
W-07,P-00194,1969,69,126,2026-06-26T18:17:07Z
W-08,P-00194,1946,199,236,2026-06-28T09:29:18Z
W-04,P-00195,799,40,199,2026-06-12T15:43:18Z
W-08,P-00195,1098,215,162,2026-06-20T04:45:51Z
W-03,P-00196,1405,93,87,2026-06-30T11:37:37Z
W-04,P-00197,1213,279,111,2026-06-18T16:11:55Z
W-01,P-00197,499,70,180,2026-06-04T23:06:55Z
W-02,P-00197,1321,145,87,2026-06-21T11:49:00Z
W-03,P-00198,118,10,162,2026-06-27T12:12:22Z
W-01,P-00198,378,78,233,2026-06-30T09:43:33Z
W-08,P-00198,414,74,286,2026-06-27T08:23:00Z
W-03,P-00199,1058,174,167,2026-06-29T23:03:08Z
W-07,P-00199,564,115,60,2026-06-07T08:30:07Z
W-06,P-00200,1474,343,153,2026-06-13T10:43:21Z
W-01,P-00200,1929,409,184,2026-06-08T23:13:53Z
W-08,P-00200,1482,70,219,2026-06-13T01:48:46Z
W-05,P-00201,1068,254,105,2026-06-20T07:23:06Z
W-07,P-00202,304,37,138,2026-06-19T13:35:15Z
W-06,P-00202,1314,147,79,2026-06-09T05:43:20Z
W-08,P-00203,135,22,261,2026-06-04T10:13:20Z
W-03,P-00203,554,27,63,2026-06-16T09:30:17Z
W-02,P-00203,495,37,129,2026-06-16T01:29:27Z
W-04,P-00204,629,91,103,2026-06-30T00:00:17Z
W-01,P-00205,1996,206,243,2026-06-14T15:18:43Z
W-04,P-00205,914,49,87,2026-06-18T15:49:29Z
W-03,P-00206,959,127,154,2026-06-28T12:19:55Z
W-05,P-00206,1419,89,182,2026-06-02T05:34:09Z
W-06,P-00206,1872,261,197,2026-06-22T17:17:07Z
W-01,P-00207,94,14,295,2026-06-05T14:38:27Z
W-01,P-00208,30,1,293,2026-06-09T12:47:02Z
W-06,P-00209,1997,343,199,2026-06-14T04:55:36Z
W-04,P-00209,768,126,279,2026-06-27T22:13:41Z
W-05,P-00209,1157,200,268,2026-06-26T17:36:32Z
W-03,P-00210,315,28,236,2026-06-09T05:26:08Z
W-04,P-00211,159,39,117,2026-06-18T22:03:16Z
W-07,P-00211,938,6,184,2026-06-16T16:25:41Z
W-06,P-00212,1181,266,236,2026-06-06T10:41:19Z
W-02,P-00212,1699,154,188,2026-06-18T10:58:00Z
W-05,P-00212,495,87,128,2026-06-13T05:59:32Z
W-06,P-00213,530,118,286,2026-06-18T13:46:43Z
W-03,P-00213,695,156,109,2026-06-12T09:18:50Z
W-05,P-00214,1553,52,179,2026-06-08T17:07:49Z
W-02,P-00215,1399,171,236,2026-06-08T12:58:06Z
W-06,P-00215,1552,294,268,2026-06-05T02:08:48Z
W-06,P-00216,786,181,113,2026-06-20T23:37:30Z
W-07,P-00217,1137,5,290,2026-06-08T04:22:27Z
W-05,P-00218,1794,54,115,2026-06-15T03:11:29Z
W-01,P-00218,799,31,171,2026-06-03T12:51:02Z
W-04,P-00218,1659,276,266,2026-06-03T11:53:33Z
W-05,P-00219,94,23,244,2026-06-06T00:13:38Z
W-04,P-00219,1078,226,129,2026-06-08T00:32:33Z
W-01,P-00219,1812,329,191,2026-06-11T09:39:15Z
W-07,P-00220,430,74,99,2026-06-10T19:46:05Z
W-06,P-00221,310,62,214,2026-06-04T20:07:09Z
W-03,P-00221,892,9,164,2026-06-02T02:23:48Z
W-04,P-00222,1782,214,284,2026-06-17T08:53:09Z
W-03,P-00222,1842,433,86,2026-06-11T23:40:53Z
W-06,P-00222,1809,412,181,2026-06-08T06:27:46Z
W-04,P-00223,1283,250,154,2026-06-13T08:21:02Z
W-07,P-00224,886,213,94,2026-06-05T15:58:39Z
W-03,P-00224,336,60,272,2026-06-19T04:58:31Z
W-01,P-00224,1054,115,95,2026-06-30T02:14:10Z
W-03,P-00225,1701,102,263,2026-06-06T02:35:41Z
W-02,P-00225,1154,272,125,2026-06-23T07:34:46Z
W-06,P-00225,1409,285,177,2026-06-15T00:09:18Z
W-04,P-00226,8,1,206,2026-06-17T07:56:09Z
