part_id,sku,name,category,subcategory,unit_price_cents,weight_grams,warehouse_id,active,created_at,updated_at
P-00062,NR-FRM-00062,High-Torque Mounting Bracket KA-594,Frames and Structure,Mounting Bracket,13411,41167,W-07,true,2022-08-16T07:33:36Z,2023-08-14T07:16:07Z
P-00063,NR-PWR-00063,Heavy-Duty DC-DC Converter LN-631,Power Systems,DC-DC Converter,123679,200,W-08,true,2022-03-13T01:15:33Z,2022-10-12T04:18:43Z
P-00064,NR-SEN-00064,Rapid-Cycle Proximity Sensor MA-668,Sensors,Proximity Sensor,201558,2099,W-05,true,2022-09-05T23:47:57Z,2022-10-05T23:28:15Z
P-00065,NR-ACT-00065,Low-Backlash Servo Motor NN-705,Actuators,Servo Motor,155437,7802,W-08,true,2024-06-12T16:39:48Z,2024-06-22T06:40:52Z
P-00066,NR-CBL-00066,Compact Cable Chain OA-742,Cabling and Connectors,Cable Chain,11033,2915,W-04,true,2024-08-09T16:32:42Z,2024-12-26T13:19:39Z
P-00067,NR-CTL-00067,Quiet-Drive Motion Controller PN-779,Controllers,Motion Controller,424190,4790,W-02,true,2022-07-12T06:11:13Z,2023-07-20T05:54:40Z
P-00068,NR-DRV-00068,Sealed Harmonic Reducer QA-816,Drivetrain,Harmonic Reducer,106894,3932,W-03,true,2024-12-29T10:16:41Z,2025-03-01T05:08:22Z
P-00069,NR-EFF-00069,Industrial Parallel Gripper RN-853,End Effectors,Parallel Gripper,227182,10086,W-05,false,2022-11-16T04:46:31Z,2023-04-04T20:33:47Z
P-00070,NR-FRM-00070,Precision Aluminum Extrusion SA-890,Frames and Structure,Aluminum Extrusion,39276,56366,W-07,true,2021-07-17T15:11:52Z,2022-01-10T06:35:37Z
P-00071,NR-PWR-00071,Modular Battery Pack TN-927,Power Systems,Battery Pack,103918,7267,W-06,true,2023-10-14T21:17:16Z,2023-11-13T19:00:46Z
P-00072,NR-SEN-00072,High-Torque Rotary Encoder UA-964,Sensors,Rotary Encoder,188838,2708,W-08,true,2021-03-07T04:13:03Z,2021-08-31T05:33:31Z
P-00073,NR-ACT-00073,Heavy-Duty Linear Actuator VN-101,Actuators,Linear Actuator,392283,14388,W-08,false,2021-01-26T00:55:44Z,2021-10-27T11:34:17Z
P-00074,NR-CBL-00074,Rapid-Cycle M12 Connector WA-138,Cabling and Connectors,M12 Connector,6573,1929,W-02,true,2021-05-01T08:37:54Z,2022-05-30T02:38:23Z
P-00075,NR-CTL-00075,Low-Backlash PLC Module XN-175,Controllers,PLC Module,216965,5549,W-05,true,2023-06-06T00:46:54Z,2024-03-20T11:25:18Z
P-00076,NR-DRV-00076,Compact Planetary Gearbox YA-212,Drivetrain,Planetary Gearbox,240012,2600,W-06,true,2024-09-22T14:10:18Z,2025-04-30T11:14:50Z
P-00077,NR-EFF-00077,Quiet-Drive Vacuum Gripper ZN-249,End Effectors,Vacuum Gripper,322794,8136,W-05,true,2022-09-27T00:28:14Z,2023-07-15T01:40:32Z
P-00078,NR-FRM-00078,Sealed Base Plate AA-286,Frames and Structure,Base Plate,2000,37591,W-03,true,2021-03-11T07:12:10Z,2021-10-23T05:27:41Z
P-00079,NR-PWR-00079,Industrial Power Supply Unit BN-323,Power Systems,Power Supply Unit,249762,4941,W-06,true,2021-11-25T12:31:57Z,2022-07-26T17:14:49Z
P-00080,NR-SEN-00080,Precision Thermal Camera Module CA-360,Sensors,Thermal Camera Module,27091,1659,W-06,true,2022-08-12T12:10:02Z,2022-09-06T19:51:59Z
P-00081,NR-ACT-00081,Modular Rotary Actuator DN-397,Actuators,Rotary Actuator,198307,8630,W-05,false,2024-12-24T06:38:02Z,2025-06-16T17:07:38Z
P-00082,NR-CBL-00082,High-Torque Servo Cable EA-434,Cabling and Connectors,Servo Cable,300,610,W-05,true,2021-07-08T08:14:35Z,2021-08-17T06:59:44Z
P-00083,NR-CTL-00083,Heavy-Duty Edge Compute Node FN-471,Controllers,Edge Compute Node,211506,2660,W-01,true,2021-10-30T23:00:23Z,2022-06-15T14:08:22Z
P-00084,NR-DRV-00084,Rapid-Cycle Timing Belt GA-508,Drivetrain,Timing Belt,243100,5786,W-02,true,2022-05-05T01:12:18Z,2022-08-02T16:43:56Z
P-00085,NR-EFF-00085,Low-Backlash Welding Torch HN-545,End Effectors,Welding Torch,208459,3063,W-06,true,2022-07-01T18:56:14Z,2023-07-29T12:48:51Z
P-00086,NR-FRM-00086,Compact Gantry Beam IA-582,Frames and Structure,Gantry Beam,57404,36769,W-02,true,2022-11-29T10:44:27Z,2023-10-20T18:40:30Z
P-00087,NR-PWR-00087,Quiet-Drive Motor Driver JN-619,Power Systems,Motor Driver,142069,17379,W-08,true,2022-01-16T12:10:17Z,2022-11-29T02:42:40Z
P-00088,NR-SEN-00088,Sealed LIDAR Unit KA-656,Sensors,LIDAR Unit,104384,619,W-05,true,2022-06-15T14:43:11Z,2023-02-14T09:12:08Z
P-00089,NR-ACT-00089,Industrial Stepper Motor LN-693,Actuators,Stepper Motor,314709,14936,W-06,true,2023-09-10T18:08:49Z,2024-02-11T15:04:37Z
P-00090,NR-CBL-00090,Precision EtherCAT Cable MA-730,Cabling and Connectors,EtherCAT Cable,13726,804,W-07,true,2022-10-13T07:29:37Z,2023-05-05T21:10:49Z
P-00091,NR-CTL-00091,Modular IO Expansion Board NN-767,Controllers,IO Expansion Board,496052,1237,W-01,true,2021-07-16T08:27:25Z,2021-08-11T19:40:24Z
P-00092,NR-DRV-00092,High-Torque Ball Screw OA-804,Drivetrain,Ball Screw,187518,6841,W-07,false,2021-07-25T15:24:01Z,2022-08-29T13:46:39Z
P-00093,NR-EFF-00093,Heavy-Duty Tool Changer PN-841,End Effectors,Tool Changer,438877,1149,W-06,true,2022-09-17T23:29:01Z,2023-03-24T12:09:23Z
P-00094,NR-FRM-00094,Rapid-Cycle Mounting Bracket QA-878,Frames and Structure,Mounting Bracket,38677,22973,W-08,true,2023-08-16T21:37:03Z,2023-11-08T14:37:45Z
P-00095,NR-PWR-00095,Low-Backlash DC-DC Converter RN-915,Power Systems,DC-DC Converter,146124,9050,W-03,true,2024-11-15T16:23:45Z,2025-09-29T06:22:23Z
P-00096,NR-SEN-00096,Compact Force-Torque Sensor SA-952,Sensors,Force-Torque Sensor,72353,716,W-07,true,2023-01-12T03:48:09Z,2023-04-26T17:01:53Z
P-00097,NR-ACT-00097,Quiet-Drive Servo Motor TN-989,Actuators,Servo Motor,214387,2585,W-05,true,2021-01-13T02:11:56Z,2021-10-27T09:08:53Z
P-00098,NR-CBL-00098,Sealed Cable Chain UA-126,Cabling and Connectors,Cable Chain,5791,1031,W-04,true,2023-03-02T04:29:14Z,2023-10-05T03:00:31Z
P-00099,NR-CTL-00099,Industrial Motion Controller VN-163,Controllers,Motion Controller,555375,4316,W-06,true,2021-03-17T00:18:18Z,2022-04-15T18:21:34Z
P-00100,NR-DRV-00100,Precision Harmonic Reducer WA-200,Drivetrain,Harmonic Reducer,228547,4287,W-02,true,2024-03-22T10:11:54Z,2024-08-08T00:06:36Z
P-00101,NR-EFF-00101,Modular Parallel Gripper XN-237,End Effectors,Parallel Gripper,289338,5825,W-03,true,2022-03-09T06:08:38Z,2022-11-08T10:22:36Z
P-00102,NR-FRM-00102,High-Torque Aluminum Extrusion YA-274,Frames and Structure,Aluminum Extrusion,53947,37375,W-04,true,2023-01-26T23:05:41Z,2024-01-02T21:05:45Z
P-00103,NR-PWR-00103,Heavy-Duty Battery Pack ZN-311,Power Systems,Battery Pack,133652,11773,W-02,false,2024-03-16T11:21:11Z,2024-06-06T21:33:46Z
P-00104,NR-SEN-00104,Rapid-Cycle Proximity Sensor AA-348,Sensors,Proximity Sensor,250233,1174,W-03,true,2023-05-08T18:08:42Z,2024-06-06T20:57:58Z
P-00105,NR-ACT-00105,Low-Backlash Linear Actuator BN-385,Actuators,Linear Actuator,233282,9928,W-04,false,2023-04-19T14:18:42Z,2023-09-18T03:50:53Z
P-00106,NR-CBL-00106,Compact M12 Connector CA-422,Cabling and Connectors,M12 Connector,14591,2083,W-07,true,2022-03-14T19:39:51Z,2023-02-09T02:14:53Z
P-00107,NR-CTL-00107,Quiet-Drive PLC Module DN-459,Controllers,PLC Module,432699,2028,W-01,true,2021-06-20T06:44:19Z,2021-09-21T10:35:35Z
P-00108,NR-DRV-00108,Sealed Planetary Gearbox EA-496,Drivetrain,Planetary Gearbox,92017,8906,W-01,true,2021-08-01T12:56:45Z,2022-03-05T19:41:22Z
P-00109,NR-EFF-00109,Industrial Vacuum Gripper FN-533,End Effectors,Vacuum Gripper,247980,4610,W-05,true,2024-03-02T04:40:39Z,2024-08-21T23:17:33Z
P-00110,NR-FRM-00110,Precision Base Plate GA-570,Frames and Structure,Base Plate,38539,17142,W-08,true,2023-09-07T15:21:52Z,2024-10-09T23:28:17Z
P-00111,NR-PWR-00111,Modular Power Supply Unit HN-607,Power Systems,Power Supply Unit,116198,7559,W-03,true,2021-03-01T14:02:48Z,2022-02-01T04:47:28Z
P-00112,NR-SEN-00112,High-Torque Rotary Encoder IA-644,Sensors,Rotary Encoder,246109,2563,W-06,true,2023-05-18T02:05:47Z,2023-06-14T18:24:10Z
P-00113,NR-ACT-00113,Heavy-Duty Rotary Actuator JN-681,Actuators,Rotary Actuator,377565,8818,W-07,true,2022-08-08T10:05:24Z,2023-01-26T11:05:36Z
P-00114,NR-CBL-00114,Rapid-Cycle Servo Cable KA-718,Cabling and Connectors,Servo Cable,6313,1310,W-01,true,2021-10-18T15:46:28Z,2022-11-08T11:25:32Z
P-00115,NR-CTL-00115,Low-Backlash Edge Compute Node LN-755,Controllers,Edge Compute Node,432894,6066,W-03,false,2024-08-24T13:07:17Z,2025-02-06T21:53:42Z
P-00116,NR-DRV-00116,Compact Timing Belt MA-792,Drivetrain,Timing Belt,210086,7577,W-08,true,2021-03-02T07:02:36Z,2022-01-21T02:05:54Z
P-00117,NR-EFF-00117,Quiet-Drive Welding Torch NN-829,End Effectors,Welding Torch,190844,2296,W-03,true,2023-01-23T05:31:01Z,2023-06-12T02:09:33Z
P-00118,NR-FRM-00118,Sealed Gantry Beam OA-866,Frames and Structure,Gantry Beam,67904,10458,W-07,true,2023-02-01T12:47:59Z,2023-12-03T04:07:30Z
P-00119,NR-PWR-00119,Industrial Motor Driver PN-903,Power Systems,Motor Driver,64846,5886,W-02,true,2021-06-24T13:21:39Z,2022-02-02T16:29:13Z
P-00120,NR-SEN-00120,Precision Thermal Camera Module QA-940,Sensors,Thermal Camera Module,84448,2220,W-04,true,2021-06-29T22:03:07Z,2021-11-13T18:33:15Z
P-00121,NR-ACT-00121,Modular Stepper Motor RN-977,Actuators,Stepper Motor,139519,12240,W-05,true,2022-09-11T09:50:42Z,2022-12-19T21:00:59Z
P-00122,NR-CBL-00122,High-Torque EtherCAT Cable SA-114,Cabling and Connectors,EtherCAT Cable,8276,870,W-06,true,2023-12-04T13:29:26Z,2024-06-03T23:35:56Z
P-00123,NR-CTL-00123,Heavy-Duty IO Expansion Board TN-151,Controllers,IO Expansion Board,632410,4960,W-05,true,2024-05-01T01:56:21Z,2025-03-14T18:21:37Z
P-00124,NR-DRV-00124,Rapid-Cycle Ball Screw UA-188,Drivetrain,Ball Screw,315178,9937,W-01,true,2022-10-01T19:43:53Z,2023-08-01T19:33:12Z
P-00125,NR-EFF-00125,Low-Backlash Tool Changer VN-225,End Effectors,Tool Changer,301725,3169,W-04,true,2022-02-21T19:35:29Z,2023-03-05T22:04:04Z
P-00126,NR-FRM-00126,Compact Mounting Bracket WA-262,Frames and Structure,Mounting Bracket,38571,16820,W-03,true,2022-09-29T14:52:54Z,2023-03-20T12:23:59Z
P-00127,NR-PWR-00127,Quiet-Drive DC-DC Converter XN-299,Power Systems,DC-DC Converter,94300,7918,W-01,true,2021-06-21T08:51:51Z,2022-03-04T10:37:21Z
P-00128,NR-SEN-00128,Sealed LIDAR Unit YA-336,Sensors,LIDAR Unit,216581,2547,W-01,true,2021-05-21T04:51:53Z,2022-02-04T01:48:17Z
P-00129,NR-ACT-00129,Industrial Servo Motor ZN-373,Actuators,Servo Motor,390567,6371,W-05,true,2023-03-17T16:38:10Z,2023-08-28T03:57:29Z
P-00130,NR-CBL-00130,Precision Cable Chain AA-410,Cabling and Connectors,Cable Chain,6067,2510,W-01,true,2022-09-07T10:17:19Z,2023-03-04T13:23:34Z
P-00131,NR-CTL-00131,Modular Motion Controller BN-447,Controllers,Motion Controller,430073,5899,W-07,true,2021-12-01T22:42:48Z,2022-06-13T02:53:13Z
P-00132,NR-DRV-00132,High-Torque Harmonic Reducer CA-484,Drivetrain,Harmonic Reducer,199676,7178,W-05,true,2023-03-29T23:24:27Z,2023-06-17T14:31:56Z
P-00133,NR-EFF-00133,Heavy-Duty Parallel Gripper DN-521,End Effectors,Parallel Gripper,38142,6025,W-08,true,2022-04-14T07:29:00Z,2022-05-03T03:25:51Z
P-00134,NR-FRM-00134,Rapid-Cycle Aluminum Extrusion EA-558,Frames and Structure,Aluminum Extrusion,45204,55642,W-06,true,2024-03-10T22:52:20Z,2024-06-14T23:44:29Z
P-00135,NR-PWR-00135,Low-Backlash Battery Pack FN-595,Power Systems,Battery Pack,150507,5099,W-04,true,2024-02-25T08:48:01Z,2024-09-22T01:56:24Z
P-00136,NR-SEN-00136,Compact Force-Torque Sensor GA-632,Sensors,Force-Torque Sensor,172846,1498,W-07,true,2024-02-28T16:04:21Z,2024-06-25T14:42:58Z
P-00137,NR-ACT-00137,Quiet-Drive Linear Actuator HN-669,Actuators,Linear Actuator,352027,15263,W-02,true,2023-07-30T21:49:07Z,2024-03-29T09:27:23Z
P-00138,NR-CBL-00138,Sealed M12 Connector IA-706,Cabling and Connectors,M12 Connector,8488,980,W-07,true,2022-12-14T21:14:32Z,2023-05-21T07:13:23Z
P-00139,NR-CTL-00139,Industrial PLC Module JN-743,Controllers,PLC Module,900000,8014,W-01,true,2022-10-30T06:12:34Z,2023-01-10T13:01:05Z
P-00140,NR-DRV-00140,Precision Planetary Gearbox KA-780,Drivetrain,Planetary Gearbox,193233,11296,W-01,true,2024-11-11T00:13:55Z,2025-12-09T11:49:09Z
P-00141,NR-EFF-00141,Modular Vacuum Gripper LN-817,End Effectors,Vacuum Gripper,255772,6626,W-07,true,2022-08-03T00:40:02Z,2022-10-26T03:36:20Z
P-00142,NR-FRM-00142,High-Torque Base Plate MA-854,Frames and Structure,Base Plate,16532,36021,W-03,true,2021-12-27T13:53:41Z,2022-12-09T20:10:06Z
P-00143,NR-PWR-00143,Heavy-Duty Power Supply Unit NN-891,Power Systems,Power Supply Unit,73602,13279,W-02,true,2024-06-11T19:05:15Z,2024-08-15T18:08:54Z
P-00144,NR-SEN-00144,Rapid-Cycle Proximity Sensor OA-928,Sensors,Proximity Sensor,190707,2060,W-08,true,2021-05-11T07:36:01Z,2021-08-29T02:11:34Z
P-00145,NR-ACT-00145,Low-Backlash Rotary Actuator PN-965,Actuators,Rotary Actuator,62201,17088,W-07,true,2023-02-06T11:56:48Z,2023-08-21T06:00:42Z
P-00146,NR-CBL-00146,Compact Servo Cable QA-102,Cabling and Connectors,Servo Cable,2515,2866,W-01,true,2023-12-07T07:41:32Z,2024-10-18T02:02:25Z
P-00147,NR-CTL-00147,Quiet-Drive Edge Compute Node RN-139,Controllers,Edge Compute Node,581947,3407,W-05,true,2024-05-19T12:24:23Z,2025-06-03T02:56:09Z
P-00148,NR-DRV-00148,Sealed Timing Belt SA-176,Drivetrain,Timing Belt,106514,6637,W-08,true,2024-01-07T04:31:15Z,2025-01-16T08:13:30Z
P-00149,NR-EFF-00149,Industrial Welding Torch TN-213,End Effectors,Welding Torch,13672,5544,W-01,true,2022-10-24T07:19:18Z,2022-12-23T12:06:33Z
P-00150,NR-FRM-00150,Precision Gantry Beam UA-250,Frames and Structure,Gantry Beam,17710,47863,W-05,true,2021-07-08T17:00:59Z,2021-11-14T19:09:09Z
P-00151,NR-PWR-00151,Modular Motor Driver VN-287,Power Systems,Motor Driver,167655,17597,W-07,true,2022-10-21T22:39:34Z,2023-11-10T13:34:05Z
P-00152,NR-SEN-00152,High-Torque Rotary Encoder WA-324,Sensors,Rotary Encoder,216882,3138,W-08,true,2024-09-20T01:05:57Z,2025-08-10T19:55:50Z
P-00153,NR-ACT-00153,Heavy-Duty Stepper Motor XN-361,Actuators,Stepper Motor,158876,13877,W-02,false,2024-01-24T09:25:12Z,2024-08-21T23:13:57Z
P-00154,NR-CBL-00154,Rapid-Cycle EtherCAT Cable YA-398,Cabling and Connectors,EtherCAT Cable,2622,1810,W-04,true,2021-09-15T18:54:11Z,2022-01-03T16:58:56Z
P-00155,NR-CTL-00155,Low-Backlash IO Expansion Board ZN-435,Controllers,IO Expansion Board,379410,7851,W-07,true,2022-01-26T06:52:56Z,2023-01-27T23:39:04Z
